name,description,dataElementsCount,dataElements,id
13_SympFU1.csv,Symptoms - Follow-up Visit 1,21,"b9ba5f99-3225-4ceb-bc91-8033033b035c, 8cd628eb-93af-42af-b3ae-98280948d6e3, 5ec5348b-9001-4cc3-9e38-5c9424e21295, 477182fc-1fbd-4fa6-be95-7da6c9670dab, c10097f1-e9a4-4e5c-94c6-f76f828bb303, ad17f863-58e5-4782-8559-7e4b67256421, 95274f1f-0b69-497d-b4cf-d12927a9aa0a, c76d2b78-0d15-4e4b-ab08-f57693a07dfa, 9be19211-0631-44a0-acb0-eccf1f1a1e6b, b3dbea3c-2370-4854-88f8-38f3abc58bfc, 244a9fc9-7ef1-4b0c-90c3-8df520a761f0, 99b162f1-236c-4c92-a095-de46e957499d, 539d371e-1a69-4158-b529-a2824f377c79, 3a634a01-738c-4336-82e6-41ce12166726, e678a98f-b52f-4dbe-9cfc-c95e209d0588, d5598d51-cb8e-46cf-84a2-4f28e77640cc, 82f41ebc-fbaf-46ae-984d-3e7f2c7cb4ab, e683e456-8a39-47a3-b020-aa20c7e70a79, 0afc78f9-be66-4dac-9c46-da292eaa6c36, a8f437ab-0d2a-4166-b469-08b28fe984f0, 5492e4ac-fa13-46e3-8dd2-02f1a61b100c",813b3a5d-9677-491b-8c58-985616c78c39
16_SympFU4.csv,Symptoms - Follow-up Visit 4,21,"4a84f1be-a8cd-428a-8820-0755a63f5d0e, b5eac0c7-8b34-4733-85e3-bddb74881afe, d9f07597-e9bc-4888-99ff-cb66ab151029, be722cae-e3e8-44bb-a5e1-296b06e7ab33, b029d0dc-06b0-4baf-be33-af6a8c42105c, 7b6db9a8-071b-4454-a657-f3986d860416, 8ba79d45-0ad1-478e-9e91-c6be06b39677, 48b9d613-6392-4ac2-b49e-6f53eab66f6a, e1c128b9-642c-4473-b937-8bf245109d75, 21d635a7-d9b1-4991-8232-cb8f3b90f0d0, 2c5f9d00-32bd-4a0b-bddd-2dea13ab0eb2, 6bc95f23-1b55-4a5c-a09b-4e4137967473, dc30af24-0bd8-42d6-9290-b0af5bd458fa, 446ef178-fda8-4fd2-80ec-967ade68f47b, 0ab4fc86-e694-43a4-b7ad-4f3e73a07fb6, 6787cfc2-a950-4565-9611-4efc61fc6918, 37e60cd0-04bd-49ef-b34a-e889d3c26626, 660bbd2d-31c8-48e4-ab62-13bdaac80121, f388a978-a2dc-4651-9ad7-13c1794a63eb, ec72589d-6f96-43d1-ad91-2b202aac55e2, 70fb0f6d-121c-4de0-8acd-3b87713a7488",798d5633-4068-4167-baed-0b8e9e83d038
02_Symptoms.xls,Symptoms,22,"4fb851b2-da60-48fb-8398-803d9a35eaa7, 38b009ca-9a16-4333-a7ef-59b0519882dc, bcac11c4-891f-4620-8099-25845de2b052, 334303b0-8159-43d0-83a3-7b90ba9a2884, 03acd93b-c281-4484-b118-afeaea1117c3, 95a1c00d-0330-445e-ace3-d55422e26ce5, 5c060bd8-ec48-4b03-96ba-50889a39c3e1, 5e92dbfa-ab2b-4277-9dac-5abb70d995b5, 1ba406d5-011a-48c9-8d4b-b59fe7f68cab, 88cfd137-ca06-4300-b9ae-9a108a606df6, 89c19543-c62e-4eff-8dfe-17cce068b161, be22fa46-1cbb-4ca0-b269-657568e49f24, 6aae4d01-f0ef-4a9b-9477-22cc619b7521, a0aad486-5828-4eec-9b5b-9dec72f06b9d, 8a519dc6-1e35-48a5-9cb0-188820723828, 06f9139f-c1cd-446e-8666-e21ae8f6894d, bedf5a31-2338-471e-9e63-c1f5115861db, c8f17945-859e-4ef6-ab91-4bc8f51b7f15, a9dec6d2-22ce-4e7b-9e08-3ac56f6ad8c0, 33e8780d-2e8a-43ee-8d2e-cd324ac25c3e, 5108b597-0edc-4ac2-9680-7e6b40e3893c, b7ce9a98-c350-4c10-a6da-f036e1e3c909",19abcc4f-f295-4231-8c6b-ec31c3537ad5
14_SympFU2.csv,Symptoms - Follow-up Visit 2,21,"115e8e5e-007d-41a1-b1b2-7d39a66f6a4b, 1e116f04-617a-4f0f-9ae6-e7501142c2c8, 1d0ba50c-8a54-4e63-992a-73e963f62a59, f1ab173b-afeb-4416-9b9a-ee8301c263d4, c536b4fd-b60d-43ba-8a0f-f55dfde86898, 0bec8577-f25a-462e-94b1-eaa966983b37, 083b5c6b-dc3e-48d2-a7fe-622e18bef068, ce99efe8-0a78-4102-a152-303ac15ed76c, 7d15233d-0648-476a-801c-2d0fd131b364, 224167ff-b6fb-4b6a-bbe2-5c3e546077c1, 261f7c2d-41d4-473c-9753-18a3a0f29b92, 6ca7be07-0b16-4105-8dc7-f84bb7ca798f, d1ce874c-8de2-4840-b6ce-648c11b24523, f2f08a4c-5f11-465e-a435-7c7a239ddab7, 9fe1b185-f584-4ba4-b16d-8f598134afa4, b7734efb-69c5-484d-adae-f64404f36f2a, 1dedbe80-6402-4550-b09a-e621e49d24a8, c5252ec1-0af7-499f-9e74-5abbb9f2bf3b, d7a7c479-2a27-426a-a113-a880ac40736f, 3b9a8fc9-7ae4-4ea5-8447-faa1eedd2e51, c4837b6f-b67c-4e33-ba93-0ddc81a273f3",4736a197-dc33-49b2-94bf-3cd5bd7ed0e2
18_SympFU6.csv,Symptoms - Follow-up Visit 6,21,"866f8135-1f0f-4c2e-a6a3-b7afb9ecdcce, 075742b0-1355-41b7-9ca7-675e3e607169, 7ed07f9a-36d6-4079-9a9d-fec714abbb6b, fe59c093-7523-4c5a-85cf-a7565273c932, e6173c26-d0c2-4874-bca1-8f7ddaf6008a, d787e437-f06b-467e-98ab-a57936632423, 9e77d0db-e9e3-4a60-a9f8-849507037ba6, 764df1d5-2b5e-48d7-b1d7-f947f4a29ef3, ce81acf4-d2a6-4870-95ac-02b3d6614617, c137477e-710c-4a73-82e9-ac3312edc369, b38dda38-28ba-4815-84cf-70ecc86b386d, 554ab22d-50e0-4c1d-829e-36e7f0b129ef, f19767ac-2d43-459f-8711-55dea1deb534, 06161b01-75ae-49a5-be1f-47816be91562, bb5bae0b-117f-48f9-a8ff-60fe66d513d2, e1d158d9-aae4-4d89-bfb7-c76b8c085524, 0bde6ed1-ae1c-4077-b682-de5b36de9fcf, 687be87c-cb3c-4f6e-8c71-1a0e9e39179a, 2221ee1f-c283-4b03-9911-82737519ddf4, 9775773f-3aa6-4eee-bcfc-84cfb0b1206d, 8a0b1bf2-bff3-4c8f-9e26-7e87adea03dd",ff190755-735d-4837-8962-8a3cda8142a0
11_SympBLPrev2weeks.csv,Symptoms - 2 weeks prior to baseline,19,"e66f6841-2bf0-4fe5-b23e-0c060f136f67, d5717b2a-0520-4a4e-941f-52e970d9618a, 34318a13-9bb2-4e1c-bac7-ac6775807927, 19278bb5-e250-45fd-999c-2a5383e493b6, f7cbd344-de72-4930-844a-029d32480831, f52029a9-6d94-4402-8b8c-0416e2784717, 93c971cc-af8c-4fd0-b099-8a6b3172c1ed, beac78ad-5560-4228-a8eb-36a861b39c81, 8d9c58cd-fc0b-4866-9bc6-b6a9678e42c1, f1865957-c704-4224-b79e-e1301049595e, 54d4ef6d-619a-4296-994a-bab82d47ddae, 754c1394-b358-4496-8c38-bd7f613b931a, fe220ac5-a3f7-4e80-ae81-0745387c848a, 0fd704e5-5703-4cae-a05c-36a432b36c0d, 3bab6010-89f2-4d9b-8910-6ca4364893f7, 96c0f30b-fc40-4739-94aa-e684b12a6f18, de75e410-4229-4f64-ab97-987a20cac72e, 30fc8627-4b35-48da-bea9-fe839b8ab921, 39bea30a-522c-4e09-8a37-948dfef2b848",577d8600-67f1-4d30-8399-38b14fbe1580
28_Symp6M.csv,Symptoms - Follow-up Visit 6,21,"c3b0806c-8857-4c09-9848-c2eb10d930b9, db3bdcc3-45d3-4fee-8ce7-d853929165d2, a91e99ce-9ee9-43fe-800d-27091c97ebf5, fe5248c2-c5b0-4ed3-852c-4ff5d590ea28, ddfd1e4a-d567-48d9-ab5e-a6ab3698c376, e9e6eada-bcbb-4eef-a8ae-f3139700f365, a4503257-a352-46fb-81db-57c93cc7fa12, 54b5f65d-66be-4551-8323-7e8c4ef7b16b, 17fba1fe-2d87-42fb-8c7a-4f231ee731fd, 3d99eace-4cdb-4ab8-a1b1-f3949b8bda54, ec9d9a7d-1b16-4eb6-bfb1-ef1ab234eea6, b0b63d2c-b441-4ef9-8fe1-a4d63d72b0ec, 11668e1b-c39d-40ed-a300-3af2b99f9620, 2fb9ba86-de28-44e8-a0a2-6f21244e19bb, e796b1fe-5355-46f0-8463-c0caf2d98040, fe12e5d7-14ca-41cc-ad13-509cfe925bec, 0fcf2fc8-0dbc-495f-9998-186ffb9fd7ff, f03af5fa-7be5-42ab-add1-8ab613b6e378, 7bd786e5-86b3-4f07-92bf-f5e14731d0a2, 4a2b9084-9f46-4c10-bf2a-e87f24efc566, 9722a7d9-26c8-4efa-aa21-aae7a4facab9",8ef9cabd-25b7-4bc1-80fe-063e308434b9
27_SympFU15.csv,Symptoms - Follow-up Visit 15,21,"052a287c-1537-477a-8869-15ca44beafb6, 4c4ba05a-d0f7-4b1a-a74a-7adf1ab2652f, 568ed08f-6dab-4089-b61d-c4d816c66944, 520a89a4-15b2-40a8-890f-c1627d21c56b, 1e3238e4-63a0-4ac9-8ed5-834c7a10618a, 4d5494ab-d9ec-4dd2-8e33-ee8a4c3d3aca, 37209bb6-4d83-456f-8304-f463a9d2fc08, 407d5b4d-5f76-40a8-a7df-9b8c7f659fa7, aa415ee8-c2bc-46a3-b380-931b61c7a137, 5393d96b-2cf0-4bf2-8fa3-07d82cc7af11, 950266bb-79b3-4982-a414-55fbbbf69927, 2d4f18fd-45ba-456e-9555-e75f94266864, a60ba573-08ab-4e26-bd4a-1404fc60a06a, a7db274d-0d92-4680-9b86-a0ae4f654d3a, 53cdb30c-8218-4f8b-ae37-ab1028dd05a3, 5fa0ec6e-8ddb-4b7d-bbfd-c6999701a244, 44d94c4b-d5b2-408a-baf4-cac2f26629ed, f02dcc16-3533-4946-bd32-bcb4457b1987, e8e4eafd-3d17-4620-a20f-84f5bcd35db3, b11205ac-f8a1-4216-88a5-716336aa3cf4, 2d8394c2-1b2d-4756-8c6e-56d02b098133",aa88e45b-59f5-434f-8f35-92079bf34b16
19_SympFU7.csv,Symptoms - Follow-up Visit 7,21,"2f6ce829-46ec-4c36-b29a-608549b67daf, 6b204e0a-e2df-49a9-a83a-12ce0beec4b5, e04fc636-5f59-4165-a182-57313fc21366, d508a2c7-dc57-4d05-a780-b9122a9108e8, 8ec3b63a-f971-4eec-a81c-d357bfe5c90f, 557212c9-6e0a-4c63-a5ac-3173e63b6360, d52abd00-36f1-4a20-ad41-c98cf8c23c09, c3780e8f-d670-481c-b140-43cb4c11bfb0, c25f728d-a8df-411c-90dc-0581fd2af58b, 89ca1c6c-7622-4d76-be85-2c1b3a7b32d9, b834772b-5696-4a8b-8dfa-784bab61c15b, 62497b6c-9d03-472e-85f4-09e77b979ce7, b003e480-142a-40b8-9ad6-228587d2821f, d2a9361e-5525-4b9f-bdef-67ecc21e4cac, af24a64e-5d8a-4fdf-b3bc-3b8f7b840ed6, 2d86f608-8646-4c03-b11e-aff9ec4f8b5b, b74ee9a0-c4a7-4a88-8a11-011cd85ebdb7, 5da27646-aa03-44b8-9515-908ad0ba45c8, 0f14cd04-7023-4113-947a-093a51b76a91, 852fe432-0d5b-43a7-bbd7-067b96726bfb, d538471e-e96b-4052-b8eb-73cf15ba15af",9aec6683-190c-4aed-bf1e-494f346a8632
20_SympFU8.csv,Symptoms - Follow-up Visit 8,21,"05912475-3a42-486c-ab67-bf3bdd8e8d60, 453f2584-808f-4ba6-b4e1-564e74a3d8a2, 19e958b8-1a63-426e-a02b-c74e50d1c9ec, 9807ee94-a3ff-4c29-84c3-c69c05461b22, 99ca2a1a-4140-4233-9707-9998f1529cbf, 4421bcf5-dabd-4600-860b-4d9900db7ca2, 8a099837-0222-464e-bebb-0591d290feec, d2f162fb-8cff-4e92-8837-ac6e7eb70868, c527c3d3-8e03-49eb-9d15-25e78a6e46d4, a92b455b-2a9e-4396-ab77-6ce9bb44e5cf, 46558be5-0902-465e-994b-c29f914acd24, a6d9de85-a659-44f4-b42f-1d0ea2ca9b0a, 3248f3f1-dce2-4fd3-834c-1732e57cc8ba, 4b7ac791-88d0-45b0-8b2d-d7d7c1764457, b32a034b-3807-40fa-a5b6-8c58345fa22d, 5fd01021-2714-494f-8919-18b85af82729, 10dc1f15-1aa6-49db-a51e-2d70e0b1a524, 115b414e-0c72-43bc-b21b-73c218229d8a, 04893615-564f-437e-abec-a7b81690b28f, 1ed490c1-1406-491e-a1c3-35ccb23ed64a, e4a94f02-0653-4a1a-8c23-9bdfca34b991",ddd32acd-a710-4123-838e-2dece9de6cb1
